Source,Target,Type,Id,Label,Weight
CHEK2,PRKAR2B,Undirected,91618,,1
CHEK2,DBF4,Undirected,91619,,1
CHEK2,ANLN,Undirected,91621,,1
CHEK2,SMARCA2,Undirected,91622,,1
CHEK2,CCAR1,Undirected,91624,,1
CHEK2,PIK3C2A,Undirected,91626,,1
CHEK2,PATZ1,Undirected,91628,,1
CHEK2,MARCH9,Undirected,91630,,1
CHEK2,TMTC3,Undirected,91633,,1
CHEK2,ANKRD52,Undirected,91635,,1
CHEK2,RB1,Undirected,91636,,1
CHEK2,ANKRD10,Undirected,91637,,1
CHEK2,TINF2,Undirected,91638,,1
CHEK2,TTBK2,Undirected,91640,,1
CHEK2,PML,Undirected,91644,,1
CHEK2,SEPT12,Undirected,91646,,1
CHEK2,GAS8,Undirected,91648,,1
CHEK2,NCOR1,Undirected,91649,,1
CHEK2,UNC45B,Undirected,91650,,1
CHEK2,ARL5C,Undirected,91659,,1
CHEK2,ZIM3,Undirected,91660,,1
CHEK2,HUNK,Undirected,91662,,1
CHEK2,SETDB1,Undirected,91669,,1
CHEK2,CALM2,Undirected,91670,,1
CHEK2,RPS27A,Undirected,91671,,1
CHEK2,MARCH4,Undirected,91673,,1
CHEK2,SETD7,Undirected,91677,,1
CHEK2,PLK2,Undirected,91680,,1
CHEK2,MEGF10,Undirected,91683,,1
CHEK2,MYLK4,Undirected,91684,,1
CHEK2,RNF44,Undirected,91687,,1
CHEK2,NFKBIE,Undirected,91688,,1
CHEK2,STRA8,Undirected,91693,,1
CHEK2,CDK16,Undirected,91694,,1
CHEK2,DOCK5,Undirected,91699,,1
CHEK2,TERF1,Undirected,91701,,1
CHEK2,PSKH2,Undirected,91702,,1
CHEK2,CDKN2B,Undirected,91703,,1
CHEK2,ASB6,Undirected,91704,,1
CHEK2,PAK1,Undirected,91707,,1
CHEK2,ATM,Undirected,91708,,1
CHEK2,AASDHPPT,Undirected,91709,,1
CHEK2,PPP4C,Undirected,91710,,1
CHEK2,DUSP6,Undirected,91711,,1
CHEK2,WDR17,Undirected,91712,,1
CHEK2,DOCK1,Undirected,91713,,1
CHEK2,MYCN,Undirected,91715,,1
CHEK2,CDC123,Undirected,91716,,1
CHEK2,AMN1,Undirected,91717,,1
CHEK2,FBXO4,Undirected,91718,,1
CHEK2,NVL,Undirected,91719,,1
CHEK2,FBXW7,Undirected,91720,,1
CHEK2,ARL11,Undirected,91721,,1
CHEK2,SETBP1,Undirected,91722,,1
CHEK2,ANKRD44,Undirected,91724,,1
CHEK2,PPM1B,Undirected,91725,,1
CHEK2,NIPBL,Undirected,91726,,1
CHEK2,SMARCA5,Undirected,91729,,1
CHEK2,RANBP2,Undirected,91731,,1
CHEK2,WNT3A,Undirected,91733,,1
CHEK2,FLCN,Undirected,91736,,1
CHEK2,PDE11A,Undirected,91742,,1
CHEK2,PPEF2,Undirected,91746,,1
CHEK2,ANKRD9,Undirected,91747,,1
CHEK2,KAT6B,Undirected,91749,,1
CHEK2,ATAD2,Undirected,91750,,1
CHEK2,PRKAG2,Undirected,91756,,1
CHEK2,CCNB2,Undirected,91758,,1
CHEK2,PIK3CB,Undirected,91762,,1
CHEK2,STARD9,Undirected,91769,,1
CHEK2,ANKRD18B,Undirected,91773,,1
CHEK2,PSKH1,Undirected,91774,,1
CHEK2,CALM3,Undirected,91775,,1
CHEK2,U2AFBP,Undirected,91780,,1
CHEK2,HIPK4,Undirected,91782,,1
CHEK2,PPP1R16A,Undirected,91783,,1
