Source,Target,Type,Id,Label,Weight
CHEK2,DDX60L,Undirected,91477,,1
CHEK2,KIF23,Undirected,91478,,1
CHEK2,TTLL7,Undirected,91479,,1
CHEK2,ADCY3,Undirected,91480,,1
CHEK2,KIF11,Undirected,91481,,1
CHEK2,TOPBP1,Undirected,91482,,1
CHEK2,BARD1,Undirected,91483,,1
CHEK2,CDK17,Undirected,91484,,1
CHEK2,CCND2,Undirected,91485,,1
CHEK2,PSMC1,Undirected,91486,,1
CHEK2,LMNB1,Undirected,91487,,1
CHEK2,SNCAIP,Undirected,91488,,1
CHEK2,UBE2K,Undirected,91489,,1
CHEK2,PPP2R5A,Undirected,91490,,1
CHEK2,MIB1,Undirected,91491,,1
CHEK2,PALB2,Undirected,91492,,2
CHEK2,NDC80,Undirected,91493,,1
CHEK2,HERC2,Undirected,91494,,1
CHEK2,KPNA3,Undirected,91495,,1
CHEK2,SLC6A4,Undirected,91496,,1
CHEK2,LHX5,Undirected,91497,,1
CHEK2,ALDH2,Undirected,91498,,1
CHEK2,CDH1,Undirected,91499,,2
CHEK2,PDGFRB,Undirected,91500,,1
CHEK2,TIPIN,Undirected,91501,,1
CHEK2,DAPK2,Undirected,91502,,1
CHEK2,RBM25,Undirected,91503,,1
CHEK2,PIK3C3,Undirected,91504,,1
CHEK2,MCM4,Undirected,91505,,1
CHEK2,RBL2,Undirected,91506,,1
CHEK2,WDR59,Undirected,91507,,1
CHEK2,SMAD2,Undirected,91508,,1
CHEK2,KMT2C,Undirected,91509,,1
CHEK2,TRPA1,Undirected,91510,,1
CHEK2,YY1,Undirected,91511,,1
CHEK2,PKMYT1,Undirected,91512,,1
CHEK2,LMF1,Undirected,91513,,1
CHEK2,CHTF18,Undirected,91514,,1
CHEK2,TELO2,Undirected,91515,,1
CHEK2,AXIN1,Undirected,91516,,1
CHEK2,CREBBP,Undirected,91517,,1
CHEK2,CHD5,Undirected,91518,,1
CHEK2,INVS,Undirected,91519,,1
CHEK2,GINS1,Undirected,91520,,1
CHEK2,CSNK2A2,Undirected,91521,,1
CHEK2,SRCAP,Undirected,91522,,1
CHEK2,SETD1A,Undirected,91523,,1
CHEK2,ZNF629,Undirected,91524,,1
CHEK2,CCNE1,Undirected,91525,,1
CHEK2,CDKN2C,Undirected,91526,,1
CHEK2,ACIN1,Undirected,91527,,1
CHEK2,PHLPP1,Undirected,91528,,1
CHEK2,PRDX1,Undirected,91529,,1
CHEK2,MOV10L1,Undirected,91530,,1
CHEK2,MAST3,Undirected,91531,,1
CHEK2,MAU2,Undirected,91532,,1
